date,cases
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,4
2020-03-02,10
2020-03-03,16
2020-03-04,30
2020-03-05,38
2020-03-06,48
2020-03-07,55
2020-03-08,60
2020-03-09,69
2020-03-10,83
2020-03-11,107
2020-03-12,123
2020-03-13,143
2020-03-14,167
2020-03-15,187
2020-03-16,212
2020-03-17,265
2020-03-18,343
2020-03-19,420
2020-03-20,480
2020-03-21,571
2020-03-22,593
2020-03-23,660
2020-03-24,766
2020-03-25,808
2020-03-26,895
2020-03-27,965
2020-03-28,1021
2020-03-29,1087
2020-03-30,1138
2020-03-31,1221
2020-04-01,1320
2020-04-02,1365
