date,ICU
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,3
2020-03-20,5
2020-03-21,5
2020-03-22,5
2020-03-23,7
2020-03-24,8
2020-03-25,9
2020-03-26,12
2020-03-27,12
2020-03-28,13
2020-03-29,16
2020-03-30,18
2020-03-31,20
2020-04-01,23
2020-04-02,23
2020-04-03,23
2020-04-04,23
2020-04-05,24
2020-04-06,26
2020-04-07,26
2020-04-08,26
2020-04-09,28
2020-04-10,28
2020-04-11,28
2020-04-12,28
2020-04-13,28
2020-04-14,28
2020-04-15,28
2020-04-16,28
2020-04-17,30
2020-04-18,30
2020-04-19,30
2020-04-20,30
2020-04-21,30
2020-04-22,30
2020-04-23,30
2020-04-24,30
2020-04-25,30
2020-04-26,30
2020-04-27,30
2020-04-28,30
2020-04-29,30
2020-04-30,30
2020-05-01,30
2020-05-02,30
2020-05-03,30
2020-05-04,30
2020-05-05,30
2020-05-06,30
2020-05-07,30
2020-05-08,30
2020-05-09,30
2020-05-10,30
2020-05-11,30
2020-05-12,30
2020-05-13,30
2020-05-14,30
2020-05-15,30
2020-05-16,30
2020-05-17,30
2020-05-18,30
2020-05-19,30
2020-05-20,30
2020-05-21,30
2020-05-22,30
2020-05-23,30
2020-05-24,30
2020-05-25,30
2020-05-26,30
2020-05-27,30
