date,recovered
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,2
2020-03-15,3
2020-03-16,7
2020-03-17,11
2020-03-18,20
2020-03-19,25
2020-03-20,36
2020-03-21,39
2020-03-22,41
2020-03-23,54
2020-03-24,63
2020-03-25,79
2020-03-26,94
2020-03-27,112
2020-03-28,125
2020-03-29,144
2020-03-30,178
2020-03-31,228
2020-04-01,270
2020-04-02,314
2020-04-03,396
